locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCPGMBNG_00001	CDS	1371				hypothetical protein
GCPGMBNG_00002	CDS	816				hypothetical protein
GCPGMBNG_00003	CDS	1158				hypothetical protein
GCPGMBNG_00004	CDS	1137				hypothetical protein
GCPGMBNG_00005	CDS	897				hypothetical protein
GCPGMBNG_00006	CDS	876				hypothetical protein
GCPGMBNG_00007	CDS	234				hypothetical protein
GCPGMBNG_00008	CDS	1011				hypothetical protein
GCPGMBNG_00009	CDS	1110				hypothetical protein
GCPGMBNG_00010	CDS	1005				hypothetical protein
GCPGMBNG_00011	CDS	1143				hypothetical protein
GCPGMBNG_00012	CDS	606				hypothetical protein
GCPGMBNG_00013	CDS	1077				hypothetical protein
GCPGMBNG_00014	CDS	1161				hypothetical protein
GCPGMBNG_00015	CDS	1137				hypothetical protein
GCPGMBNG_00016	CDS	345				hypothetical protein
GCPGMBNG_00017	CDS	1167	rnhA_1	3.1.26.4		Ribonuclease H
GCPGMBNG_00018	CDS	1383	rnhA_2	3.1.26.4		Ribonuclease H
GCPGMBNG_00019	CDS	2001	ligA_1	6.5.1.2	COG0272	DNA ligase
GCPGMBNG_00020	CDS	828	rnhA_3	3.1.26.4		Ribonuclease H
GCPGMBNG_00021	CDS	747				hypothetical protein
GCPGMBNG_00022	CDS	225				hypothetical protein
GCPGMBNG_00023	CDS	690				hypothetical protein
GCPGMBNG_00024	CDS	858				hypothetical protein
GCPGMBNG_00025	CDS	714				hypothetical protein
GCPGMBNG_00026	CDS	903				hypothetical protein
GCPGMBNG_00027	CDS	702				hypothetical protein
GCPGMBNG_00028	CDS	1257				hypothetical protein
GCPGMBNG_00029	CDS	1239				hypothetical protein
GCPGMBNG_00030	CDS	549				hypothetical protein
GCPGMBNG_00031	CDS	309				hypothetical protein
GCPGMBNG_00032	CDS	1260				hypothetical protein
GCPGMBNG_00033	CDS	297				hypothetical protein
GCPGMBNG_00034	CDS	1233				hypothetical protein
GCPGMBNG_00035	CDS	759				hypothetical protein
GCPGMBNG_00036	CDS	780				hypothetical protein
GCPGMBNG_00037	CDS	750				hypothetical protein
