locus_tag	ftype	length_bp	gene	EC_number	COG	product
BMCFIPLP_00001	CDS	1218	Int-Tn_1			Transposase from transposon Tn916
BMCFIPLP_00002	CDS	204				hypothetical protein
BMCFIPLP_00003	CDS	231				hypothetical protein
BMCFIPLP_00004	CDS	423				hypothetical protein
BMCFIPLP_00005	CDS	354				hypothetical protein
BMCFIPLP_00006	CDS	1920	tet(M)			tetracycline resistance ribosomal protection protein Tet(M)
BMCFIPLP_00007	CDS	933				hypothetical protein
BMCFIPLP_00008	CDS	1002				hypothetical protein
BMCFIPLP_00009	CDS	2178				hypothetical protein
BMCFIPLP_00010	CDS	2448				hypothetical protein
BMCFIPLP_00011	CDS	507				hypothetical protein
BMCFIPLP_00012	CDS	498				hypothetical protein
BMCFIPLP_00013	CDS	222				hypothetical protein
BMCFIPLP_00014	CDS	1206				hypothetical protein
BMCFIPLP_00015	CDS	1386				hypothetical protein
BMCFIPLP_00016	CDS	384				hypothetical protein
BMCFIPLP_00017	CDS	315				hypothetical protein
BMCFIPLP_00018	CDS	3639	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
BMCFIPLP_00019	CDS	2496	clpC			ATP-dependent Clp protease ATP-binding subunit ClpC
BMCFIPLP_00020	CDS	525	Int-Tn_2			Transposase from transposon Tn916
BMCFIPLP_00021	CDS	285		1.1.1.-		Putative 2-hydroxyacid dehydrogenase
BMCFIPLP_00022	CDS	396				hypothetical protein
BMCFIPLP_00023	CDS	492	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
BMCFIPLP_00024	CDS	831				hypothetical protein
BMCFIPLP_00025	CDS	834	manZ_1		COG3716	PTS system mannose-specific EIID component
BMCFIPLP_00026	CDS	1011	melR		COG1609	HTH-type transcriptional repressor MelR
BMCFIPLP_00027	CDS	1428				hypothetical protein
BMCFIPLP_00028	CDS	1467				hypothetical protein
BMCFIPLP_00029	CDS	258				hypothetical protein
BMCFIPLP_00030	CDS	282				hypothetical protein
BMCFIPLP_00031	CDS	336				hypothetical protein
BMCFIPLP_00032	CDS	717				hypothetical protein
BMCFIPLP_00033	CDS	3375				hypothetical protein
BMCFIPLP_00034	CDS	1434				hypothetical protein
BMCFIPLP_00035	CDS	1476	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
BMCFIPLP_00036	CDS	819	hgdH	1.1.1.399	COG1052	(R)-2-hydroxyglutarate dehydrogenase
BMCFIPLP_00037	CDS	489				hypothetical protein
BMCFIPLP_00038	CDS	315				hypothetical protein
BMCFIPLP_00039	CDS	1419	gatC_1		COG3775	PTS system galactitol-specific EIIC component
BMCFIPLP_00040	CDS	303				hypothetical protein
BMCFIPLP_00041	CDS	717	dasR_1		COG2188	HTH-type transcriptional repressor DasR
BMCFIPLP_00042	CDS	1164	agaS	3.5.99.-	COG2222	Putative D-galactosamine-6-phosphate deaminase AgaS
BMCFIPLP_00043	CDS	489	sorB_2	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
BMCFIPLP_00044	CDS	915				hypothetical protein
BMCFIPLP_00045	CDS	249				hypothetical protein
BMCFIPLP_00046	CDS	549				hypothetical protein
BMCFIPLP_00047	CDS	1149				hypothetical protein
BMCFIPLP_00048	CDS	381				hypothetical protein
BMCFIPLP_00049	CDS	324				hypothetical protein
BMCFIPLP_00050	CDS	1050				hypothetical protein
BMCFIPLP_00051	CDS	687				hypothetical protein
BMCFIPLP_00052	CDS	2967				hypothetical protein
BMCFIPLP_00053	CDS	426				hypothetical protein
BMCFIPLP_00054	CDS	483	xkdM			Phage-like element PBSX protein XkdM
BMCFIPLP_00055	CDS	1131				hypothetical protein
BMCFIPLP_00056	CDS	1437				hypothetical protein
BMCFIPLP_00057	CDS	1251				hypothetical protein
BMCFIPLP_00058	CDS	798				hypothetical protein
BMCFIPLP_00059	CDS	297				hypothetical protein
BMCFIPLP_00060	CDS	492				hypothetical protein
BMCFIPLP_00061	CDS	507				hypothetical protein
BMCFIPLP_00062	CDS	480				hypothetical protein
BMCFIPLP_00063	CDS	720				hypothetical protein
BMCFIPLP_00064	CDS	762				hypothetical protein
BMCFIPLP_00065	CDS	717				hypothetical protein
BMCFIPLP_00066	CDS	507				hypothetical protein
