locus_tag	ftype	length_bp	gene	EC_number	COG	product
CKACCMOM_00001	CDS	726				hypothetical protein
CKACCMOM_00002	CDS	1620				hypothetical protein
CKACCMOM_00003	CDS	375				hypothetical protein
CKACCMOM_00004	CDS	657	kpsT			Polysialic acid transport ATP-binding protein KpsT
CKACCMOM_00005	CDS	882				hypothetical protein
CKACCMOM_00006	CDS	1296				hypothetical protein
CKACCMOM_00007	CDS	657	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
CKACCMOM_00008	CDS	495	bfr	1.16.3.1	COG2193	Bacterioferritin
CKACCMOM_00009	CDS	264				hypothetical protein
CKACCMOM_00010	CDS	1296	csbX		COG0477	Alpha-ketoglutarate permease
CKACCMOM_00011	CDS	753	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
CKACCMOM_00012	CDS	1440				hypothetical protein
CKACCMOM_00013	CDS	1125				hypothetical protein
CKACCMOM_00014	CDS	1350				hypothetical protein
CKACCMOM_00015	CDS	1215				hypothetical protein
CKACCMOM_00016	CDS	1185				hypothetical protein
CKACCMOM_00017	CDS	1251				hypothetical protein
CKACCMOM_00018	CDS	675				hypothetical protein
CKACCMOM_00019	CDS	615				hypothetical protein
CKACCMOM_00020	tRNA	93				tRNA-Ser(gct)
CKACCMOM_00021	CDS	1461	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
CKACCMOM_00022	CDS	1488	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
CKACCMOM_00023	CDS	288	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
CKACCMOM_00024	CDS	465	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
CKACCMOM_00025	CDS	1245	gfo	1.1.99.28		Glucose--fructose oxidoreductase
CKACCMOM_00026	CDS	375				hypothetical protein
CKACCMOM_00027	CDS	117				hypothetical protein
CKACCMOM_00028	CDS	552				hypothetical protein
CKACCMOM_00029	CDS	1080				hypothetical protein
CKACCMOM_00030	CDS	558				hypothetical protein
CKACCMOM_00031	CDS	1083				hypothetical protein
CKACCMOM_00032	CDS	396				hypothetical protein
CKACCMOM_00033	CDS	345				hypothetical protein
CKACCMOM_00034	CDS	2382				hypothetical protein
CKACCMOM_00035	CDS	447				hypothetical protein
CKACCMOM_00036	CDS	582				hypothetical protein
CKACCMOM_00037	CDS	1725	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
CKACCMOM_00038	CDS	702				hypothetical protein
CKACCMOM_00039	CDS	279				hypothetical protein
CKACCMOM_00040	CDS	669				hypothetical protein
CKACCMOM_00041	CDS	1230				hypothetical protein
CKACCMOM_00042	CDS	603				hypothetical protein
CKACCMOM_00043	CDS	639				hypothetical protein
CKACCMOM_00044	CDS	1218				hypothetical protein
CKACCMOM_00045	CDS	372				hypothetical protein
CKACCMOM_00046	CDS	1467				hypothetical protein
CKACCMOM_00047	CDS	624				hypothetical protein
CKACCMOM_00048	CDS	720				hypothetical protein
CKACCMOM_00049	CDS	1632	levB	3.2.1.64	COG1621	Levanbiose-producing levanase
CKACCMOM_00050	CDS	645				hypothetical protein
CKACCMOM_00051	CDS	444				hypothetical protein
CKACCMOM_00052	CDS	2277				hypothetical protein
CKACCMOM_00053	CDS	309				hypothetical protein
CKACCMOM_00054	CDS	240				hypothetical protein
CKACCMOM_00055	CDS	408				hypothetical protein
CKACCMOM_00056	CDS	243				hypothetical protein
CKACCMOM_00057	CDS	309				hypothetical protein
CKACCMOM_00058	CDS	234				hypothetical protein
CKACCMOM_00059	CDS	372				hypothetical protein
CKACCMOM_00060	tRNA	75				tRNA-Val(gac)
CKACCMOM_00061	CDS	726				hypothetical protein
CKACCMOM_00062	CDS	357				hypothetical protein
CKACCMOM_00063	CDS	378				hypothetical protein
CKACCMOM_00064	CDS	339				hypothetical protein
CKACCMOM_00065	CDS	2868				hypothetical protein
CKACCMOM_00066	CDS	321				hypothetical protein
CKACCMOM_00067	CDS	489				hypothetical protein
CKACCMOM_00068	CDS	570				hypothetical protein
CKACCMOM_00069	CDS	345				hypothetical protein
CKACCMOM_00070	CDS	357				hypothetical protein
CKACCMOM_00071	tRNA	75				tRNA-Val(cac)
CKACCMOM_00072	CDS	1890				hypothetical protein
CKACCMOM_00073	CDS	951				hypothetical protein
CKACCMOM_00074	CDS	1158	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
CKACCMOM_00075	CDS	1302	glyA2	2.1.2.1		Serine hydroxymethyltransferase 2
CKACCMOM_00076	CDS	1449	yhdG_1		COG0531	putative amino acid permease YhdG
CKACCMOM_00077	CDS	1443	yhdG_2		COG0531	putative amino acid permease YhdG
CKACCMOM_00078	CDS	1443	yhdG_3		COG0531	putative amino acid permease YhdG
CKACCMOM_00079	CDS	1005	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
CKACCMOM_00080	CDS	402				hypothetical protein
CKACCMOM_00081	CDS	318				hypothetical protein
CKACCMOM_00082	CDS	336	grxD		COG0278	Glutaredoxin 4
CKACCMOM_00083	CDS	231			COG0271	putative protein RP812
CKACCMOM_00084	CDS	2244	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
CKACCMOM_00085	CDS	699	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
CKACCMOM_00086	CDS	771				hypothetical protein
CKACCMOM_00087	CDS	243	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
CKACCMOM_00088	CDS	762	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
CKACCMOM_00089	CDS	1332	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
CKACCMOM_00090	CDS	639				hypothetical protein
CKACCMOM_00091	CDS	1971				hypothetical protein
CKACCMOM_00092	CDS	288				hypothetical protein
CKACCMOM_00093	CDS	453	pasT		COG2867	Persistence and stress-resistance toxin PasT
CKACCMOM_00094	CDS	981	lipA	2.8.1.8	COG0320	Lipoyl synthase
CKACCMOM_00095	CDS	1407	lpdG	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
CKACCMOM_00096	CDS	1251	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
CKACCMOM_00097	CDS	1374	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
CKACCMOM_00098	CDS	1005	acoA_1	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
CKACCMOM_00099	CDS	948	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
CKACCMOM_00100	CDS	1074	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
CKACCMOM_00101	CDS	600	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
CKACCMOM_00102	CDS	1515	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
CKACCMOM_00103	CDS	1968	prsA	5.2.1.8		Foldase protein PrsA
CKACCMOM_00104	CDS	795	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
CKACCMOM_00105	CDS	330	secG		COG1314	Protein-export membrane protein SecG
CKACCMOM_00106	CDS	1644	pyrG	6.3.4.2	COG0504	CTP synthase
CKACCMOM_00107	CDS	825	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
CKACCMOM_00108	CDS	483				hypothetical protein
CKACCMOM_00109	CDS	1284	eno	4.2.1.11		Enolase
CKACCMOM_00110	CDS	324				hypothetical protein
CKACCMOM_00111	CDS	192	rpmG		COG0267	50S ribosomal protein L33
CKACCMOM_00112	CDS	1239				hypothetical protein
CKACCMOM_00113	CDS	564	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
CKACCMOM_00114	CDS	1878	uvrC		COG0322	UvrABC system protein C
CKACCMOM_00115	CDS	1029				hypothetical protein
CKACCMOM_00116	CDS	795	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
CKACCMOM_00117	CDS	705	basR			Transcriptional regulatory protein BasR
CKACCMOM_00118	CDS	1854	nhaP2_1			K(+)/H(+) antiporter NhaP2
CKACCMOM_00119	CDS	1314	rsmB_1	2.1.1.176		Ribosomal RNA small subunit methyltransferase B
CKACCMOM_00120	CDS	1485	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
CKACCMOM_00121	CDS	1389	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
CKACCMOM_00122	tRNA	74				tRNA-Gln(ctg)
CKACCMOM_00123	tRNA	74				tRNA-Gln(ctg)
CKACCMOM_00124	CDS	1023				hypothetical protein
CKACCMOM_00125	CDS	792	rlmE	2.1.1.166		Ribosomal RNA large subunit methyltransferase E
CKACCMOM_00126	CDS	864				hypothetical protein
CKACCMOM_00127	CDS	459	nsrR		COG1959	HTH-type transcriptional repressor NsrR
CKACCMOM_00128	CDS	1215	hmp	1.14.12.17	COG1017	Flavohemoprotein
CKACCMOM_00129	CDS	3495	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
CKACCMOM_00130	CDS	2016	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
CKACCMOM_00131	CDS	630				hypothetical protein
CKACCMOM_00132	CDS	504	smpB			SsrA-binding protein
CKACCMOM_00133	CDS	900	dapA_1	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
CKACCMOM_00134	CDS	840	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
CKACCMOM_00135	CDS	750	kdsB	2.7.7.90	COG1212	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
CKACCMOM_00136	CDS	795	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
CKACCMOM_00137	CDS	1266	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
CKACCMOM_00138	CDS	1497	comM		COG0606	Competence protein ComM
CKACCMOM_00139	CDS	1242	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
CKACCMOM_00140	CDS	672				hypothetical protein
CKACCMOM_00141	CDS	1422	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
CKACCMOM_00142	CDS	2211	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
CKACCMOM_00143	CDS	771	recO			DNA repair protein RecO
CKACCMOM_00144	CDS	912	tsf			Elongation factor Ts
CKACCMOM_00145	CDS	768	rpsB		COG0052	30S ribosomal protein S2
CKACCMOM_00146	CDS	639				hypothetical protein
CKACCMOM_00147	CDS	1956	shc	4.2.1.129	COG1657	Squalene--hopene cyclase
CKACCMOM_00148	CDS	1305	hpnE	1.17.8.1	COG2907	Hydroxysqualene dehydroxylase
CKACCMOM_00149	CDS	885	hpnD	2.5.1.103	COG1562	Presqualene diphosphate synthase
CKACCMOM_00150	CDS	888	hpnC	4.2.3.156	COG1562	Hydroxysqualene synthase
CKACCMOM_00151	CDS	1155				hypothetical protein
CKACCMOM_00152	CDS	1008	auaH	1.1.1.394		Aurachin B dehydrogenase
CKACCMOM_00153	CDS	1026				hypothetical protein
CKACCMOM_00154	CDS	891	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
CKACCMOM_00155	CDS	576				hypothetical protein
CKACCMOM_00156	CDS	996				hypothetical protein
CKACCMOM_00157	CDS	1365	pyk	2.7.1.40		Pyruvate kinase
CKACCMOM_00158	CDS	879				hypothetical protein
CKACCMOM_00159	CDS	936	hindIIIR	3.1.21.4		Type-2 restriction enzyme HindIII
CKACCMOM_00160	CDS	909	hindIIIM	2.1.1.72		Modification methylase HindIII
CKACCMOM_00161	CDS	951				IS1595 family transposase ISSpo3
CKACCMOM_00162	CDS	1596	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
CKACCMOM_00163	CDS	378				hypothetical protein
CKACCMOM_00164	tRNA	77				tRNA-Arg(acg)
CKACCMOM_00165	tRNA	77				tRNA-Arg(acg)
CKACCMOM_00166	CDS	1239	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
CKACCMOM_00167	CDS	2673				hypothetical protein
CKACCMOM_00168	CDS	1512	gppA	3.6.1.40		Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
CKACCMOM_00169	CDS	2172	ppk	2.7.4.1	COG0855	Polyphosphate kinase
CKACCMOM_00170	CDS	738	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
CKACCMOM_00171	CDS	1059	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
CKACCMOM_00172	CDS	585	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
CKACCMOM_00173	CDS	423	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
CKACCMOM_00174	CDS	1914	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
CKACCMOM_00175	CDS	1179				hypothetical protein
CKACCMOM_00176	CDS	411				hypothetical protein
CKACCMOM_00177	CDS	1155	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
CKACCMOM_00178	CDS	453				hypothetical protein
CKACCMOM_00179	CDS	1392	pepA_1	3.4.11.10		cytosol aminopeptidase
CKACCMOM_00180	CDS	2583				hypothetical protein
CKACCMOM_00181	CDS	288	hslR		COG1188	Heat shock protein 15
CKACCMOM_00182	CDS	333				Ferredoxin-2
CKACCMOM_00183	CDS	339	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
CKACCMOM_00184	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
CKACCMOM_00185	CDS	1998	cyaA	1.10.3.-		Ubiquinol oxidase subunit 1
CKACCMOM_00186	CDS	993	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
CKACCMOM_00187	CDS	765	ybhL		COG0670	Inner membrane protein YbhL
CKACCMOM_00188	CDS	591	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
CKACCMOM_00189	CDS	2043				hypothetical protein
CKACCMOM_00190	CDS	1629				hypothetical protein
CKACCMOM_00191	CDS	2991	dinG	3.1.-.-		3'-5' exonuclease DinG
CKACCMOM_00192	CDS	1662	groL5			60 kDa chaperonin 5
CKACCMOM_00193	CDS	291	groS1		COG0234	10 kDa chaperonin 1
CKACCMOM_00194	CDS	789	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CKACCMOM_00195	CDS	897	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
