locus_tag	ftype	length_bp	gene	EC_number	COG	product
ELIAPFHF_00001	CDS	408				hypothetical protein
ELIAPFHF_00002	CDS	4029	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
ELIAPFHF_00003	CDS	369	rplL		COG0222	50S ribosomal protein L7/L12
ELIAPFHF_00004	CDS	498	rplJ		COG0244	50S ribosomal protein L10
ELIAPFHF_00005	CDS	702	rplA		COG0081	50S ribosomal protein L1
ELIAPFHF_00006	CDS	429	rplK		COG0080	50S ribosomal protein L11
ELIAPFHF_00007	CDS	489				hypothetical protein
ELIAPFHF_00008	CDS	279	rplX_1		COG0198	50S ribosomal protein L24
ELIAPFHF_00009	CDS	540	rplE		COG0094	50S ribosomal protein L5
ELIAPFHF_00010	CDS	306	rpsN		COG0199	30S ribosomal protein S14
ELIAPFHF_00011	CDS	393	rpsH		COG0096	30S ribosomal protein S8
ELIAPFHF_00012	CDS	534	rplF		COG0097	50S ribosomal protein L6
ELIAPFHF_00013	CDS	354	rplR		COG0256	50S ribosomal protein L18
ELIAPFHF_00014	CDS	501	rpsE_1		COG0098	30S ribosomal protein S5
ELIAPFHF_00015	CDS	180	rpmD_1		COG1841	50S ribosomal protein L30
ELIAPFHF_00016	CDS	435	rplO_1		COG0200	50S ribosomal protein L15
ELIAPFHF_00017	CDS	1347	secY_1		COG0201	Protein translocase subunit SecY
ELIAPFHF_00018	CDS	114	rpmJ_1		COG0257	50S ribosomal protein L36
ELIAPFHF_00019	CDS	357	rpsM_1		COG0099	30S ribosomal protein S13
ELIAPFHF_00020	CDS	390	rpsK_1		COG0100	30S ribosomal protein S11
ELIAPFHF_00021	CDS	621	rpsD		COG0522	30S ribosomal protein S4
ELIAPFHF_00022	CDS	990	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
ELIAPFHF_00023	CDS	2037				hypothetical protein
ELIAPFHF_00024	CDS	870	cnoX		COG3118	Chaperedoxin
ELIAPFHF_00025	CDS	771				hypothetical protein
ELIAPFHF_00026	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
ELIAPFHF_00027	CDS	639				hypothetical protein
ELIAPFHF_00028	CDS	276				hypothetical protein
ELIAPFHF_00029	CDS	1173	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
ELIAPFHF_00030	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
ELIAPFHF_00031	CDS	1578	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
ELIAPFHF_00032	CDS	1137	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
ELIAPFHF_00033	CDS	96				hypothetical protein
ELIAPFHF_00034	CDS	399	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
ELIAPFHF_00035	CDS	681	tolQ		COG0811	Tol-Pal system protein TolQ
ELIAPFHF_00036	CDS	420	tolR		COG0848	Tol-Pal system protein TolR
ELIAPFHF_00037	CDS	126				hypothetical protein
ELIAPFHF_00038	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
ELIAPFHF_00039	CDS	321	yqjZ		COG2329	putative protein YqjZ
ELIAPFHF_00040	CDS	387				hypothetical protein
ELIAPFHF_00041	CDS	687				hypothetical protein
ELIAPFHF_00042	CDS	624	tetR			Tetracycline repressor protein class B from transposon Tn10
ELIAPFHF_00043	CDS	1206	tetA			Tetracycline resistance protein, class B
ELIAPFHF_00044	CDS	594	tetC			Transposon Tn10 TetC protein
ELIAPFHF_00045	CDS	417	tetD			Transposon Tn10 TetD protein
ELIAPFHF_00046	CDS	423	atpC		COG0355	ATP synthase epsilon chain
ELIAPFHF_00047	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
ELIAPFHF_00048	CDS	870	atpG_1		COG0224	ATP synthase gamma chain
ELIAPFHF_00049	CDS	1542	atpA_1	7.1.2.2		ATP synthase subunit alpha
ELIAPFHF_00050	CDS	534	atpH		COG0712	ATP synthase subunit delta
ELIAPFHF_00051	CDS	471	atpF		COG0711	ATP synthase subunit b
ELIAPFHF_00052	CDS	225	atpE		COG0636	ATP synthase subunit c
ELIAPFHF_00053	CDS	786	atpB		COG0356	ATP synthase subunit a
ELIAPFHF_00054	CDS	615	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
