locus_tag	ftype	length_bp	gene	EC_number	COG	product
NBCJFNME_00001	CDS	612				hypothetical protein
NBCJFNME_00002	CDS	1032				hypothetical protein
NBCJFNME_00003	CDS	840				hypothetical protein
NBCJFNME_00004	CDS	1317				hypothetical protein
NBCJFNME_00005	CDS	984				hypothetical protein
NBCJFNME_00006	CDS	1335				hypothetical protein
NBCJFNME_00007	CDS	1017				hypothetical protein
NBCJFNME_00008	CDS	1536				hypothetical protein
NBCJFNME_00009	CDS	1473				hypothetical protein
NBCJFNME_00010	CDS	447				hypothetical protein
NBCJFNME_00011	CDS	528				hypothetical protein
NBCJFNME_00012	CDS	96				hypothetical protein
NBCJFNME_00013	CDS	417				hypothetical protein
NBCJFNME_00014	CDS	615				hypothetical protein
NBCJFNME_00015	CDS	1359				hypothetical protein
NBCJFNME_00016	CDS	1944				hypothetical protein
NBCJFNME_00017	CDS	291	hup		COG0776	DNA-binding protein HU
NBCJFNME_00018	CDS	834				hypothetical protein
NBCJFNME_00019	CDS	288				hypothetical protein
NBCJFNME_00020	CDS	1716	recJ_1	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
NBCJFNME_00021	CDS	312				hypothetical protein
NBCJFNME_00022	CDS	423				hypothetical protein
NBCJFNME_00023	CDS	1167				hypothetical protein
NBCJFNME_00024	CDS	336				hypothetical protein
NBCJFNME_00025	CDS	423				hypothetical protein
NBCJFNME_00026	CDS	561				hypothetical protein
NBCJFNME_00027	CDS	528				hypothetical protein
NBCJFNME_00028	CDS	840				hypothetical protein
NBCJFNME_00029	CDS	867				hypothetical protein
NBCJFNME_00030	CDS	462				hypothetical protein
NBCJFNME_00031	CDS	537				hypothetical protein
NBCJFNME_00032	CDS	339				hypothetical protein
NBCJFNME_00033	CDS	213				hypothetical protein
NBCJFNME_00034	CDS	939				hypothetical protein
NBCJFNME_00035	CDS	423				hypothetical protein
NBCJFNME_00036	CDS	198				hypothetical protein
NBCJFNME_00037	CDS	408				hypothetical protein
NBCJFNME_00038	CDS	549				hypothetical protein
NBCJFNME_00039	CDS	2112	clpX_1			ATP-dependent Clp protease ATP-binding subunit ClpX
NBCJFNME_00040	CDS	915				hypothetical protein
NBCJFNME_00041	CDS	1179				hypothetical protein
NBCJFNME_00042	CDS	900				hypothetical protein
NBCJFNME_00043	CDS	615				hypothetical protein
NBCJFNME_00044	CDS	1179				IS607 family transposase ISCARN56
NBCJFNME_00045	CDS	1275				hypothetical protein
NBCJFNME_00046	CDS	822				hypothetical protein
NBCJFNME_00047	CDS	264				hypothetical protein
NBCJFNME_00048	CDS	1329				hypothetical protein
NBCJFNME_00049	CDS	885				hypothetical protein
NBCJFNME_00050	CDS	1320				hypothetical protein
NBCJFNME_00051	CDS	900				hypothetical protein
NBCJFNME_00052	CDS	1359				hypothetical protein
NBCJFNME_00053	CDS	885				hypothetical protein
NBCJFNME_00054	CDS	873				hypothetical protein
NBCJFNME_00055	CDS	369				hypothetical protein
NBCJFNME_00056	CDS	240				hypothetical protein
NBCJFNME_00057	CDS	891	qmcA_1		COG0330	Protein QmcA
NBCJFNME_00058	CDS	1611				hypothetical protein
NBCJFNME_00059	CDS	864				hypothetical protein
NBCJFNME_00060	CDS	96				hypothetical protein
NBCJFNME_00061	CDS	300				hypothetical protein
NBCJFNME_00062	CDS	291				hypothetical protein
NBCJFNME_00063	CDS	882				hypothetical protein
NBCJFNME_00064	CDS	1029				hypothetical protein
NBCJFNME_00065	CDS	1251				hypothetical protein
NBCJFNME_00066	CDS	1362	bglC_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglC
