locus_tag	ftype	length_bp	gene	EC_number	COG	product
IAHGPBAK_00001	CDS	1959	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
IAHGPBAK_00002	CDS	636	plsY_1	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
IAHGPBAK_00003	CDS	1371	farB			Fatty acid resistance protein FarB
IAHGPBAK_00004	CDS	891	lacX			Protein LacX, plasmid
IAHGPBAK_00005	CDS	1410	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
IAHGPBAK_00006	CDS	525	hslV	3.4.25.2		ATP-dependent protease subunit HslV
IAHGPBAK_00007	CDS	930	xerC_1		COG4974	Tyrosine recombinase XerC
IAHGPBAK_00008	CDS	1317	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
IAHGPBAK_00009	CDS	2106	topA	5.6.2.1		DNA topoisomerase 1
IAHGPBAK_00010	CDS	837				hypothetical protein
IAHGPBAK_00011	CDS	756	rnhB	3.1.26.4	COG0164	Ribonuclease HII
IAHGPBAK_00012	CDS	840	rbgA		COG1161	Ribosome biogenesis GTPase A
IAHGPBAK_00013	CDS	231				hypothetical protein
IAHGPBAK_00014	CDS	861			COG1307	DegV domain-containing protein
IAHGPBAK_00015	CDS	666				hypothetical protein
IAHGPBAK_00016	CDS	1203	cca	2.7.7.72		CCA-adding enzyme
IAHGPBAK_00017	CDS	888				hypothetical protein
IAHGPBAK_00018	CDS	720	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
IAHGPBAK_00019	CDS	1263	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
IAHGPBAK_00020	CDS	276	hup_1		COG0776	DNA-binding protein HU
IAHGPBAK_00021	CDS	1311	der			GTPase Der
IAHGPBAK_00022	CDS	1209	rps1		COG0539	30S ribosomal protein S1
IAHGPBAK_00023	CDS	675	cmk	2.7.4.25	COG0283	Cytidylate kinase
IAHGPBAK_00024	CDS	480				hypothetical protein
IAHGPBAK_00025	CDS	390	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
IAHGPBAK_00026	CDS	852	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
IAHGPBAK_00027	CDS	684	ribU			Riboflavin transporter RibU
IAHGPBAK_00028	CDS	720	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
IAHGPBAK_00029	CDS	609	scpB			Segregation and condensation protein B
IAHGPBAK_00030	CDS	738	scpA		COG1354	Segregation and condensation protein A
IAHGPBAK_00031	CDS	354				hypothetical protein
IAHGPBAK_00032	CDS	900	xerD_1			Tyrosine recombinase XerD
IAHGPBAK_00033	CDS	888	cvfB			Conserved virulence factor B
IAHGPBAK_00034	CDS	1770	pyk	2.7.1.40	COG0469	Pyruvate kinase
IAHGPBAK_00035	CDS	960	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase
IAHGPBAK_00036	CDS	3129	dnaE_1	2.7.7.7	COG0587	DNA polymerase III subunit alpha
IAHGPBAK_00037	CDS	207				hypothetical protein
IAHGPBAK_00038	CDS	1548	cpdB_1	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
IAHGPBAK_00039	CDS	192	rpmF		COG0333	50S ribosomal protein L32
IAHGPBAK_00040	CDS	222				hypothetical protein
IAHGPBAK_00041	CDS	795		1.-.-.-		putative oxidoreductase
IAHGPBAK_00042	CDS	942	rnz	3.1.26.11	COG1234	Ribonuclease Z
IAHGPBAK_00043	CDS	1920	oatA	2.3.1.-		O-acetyltransferase OatA
IAHGPBAK_00044	CDS	1305	obg	3.6.5.-	COG0536	GTPase Obg
IAHGPBAK_00045	CDS	1803	uvrC		COG0322	UvrABC system protein C
IAHGPBAK_00046	CDS	123				hypothetical protein
IAHGPBAK_00047	CDS	585	engB			putative GTP-binding protein EngB
