locus_tag	ftype	length_bp	gene	EC_number	COG	product
GGJBEMIG_00001	CDS	930	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
GGJBEMIG_00002	CDS	336				hypothetical protein
GGJBEMIG_00003	CDS	267	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
GGJBEMIG_00004	CDS	933		1.1.1.1		Alcohol dehydrogenase
GGJBEMIG_00005	CDS	564	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
GGJBEMIG_00006	CDS	195				hypothetical protein
GGJBEMIG_00007	CDS	405				hypothetical protein
GGJBEMIG_00008	CDS	246				hypothetical protein
GGJBEMIG_00009	CDS	4275				hypothetical protein
GGJBEMIG_00010	CDS	3804				hypothetical protein
GGJBEMIG_00011	CDS	861				hypothetical protein
GGJBEMIG_00012	CDS	2355				hypothetical protein
GGJBEMIG_00013	CDS	792	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
GGJBEMIG_00014	CDS	744	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
GGJBEMIG_00015	CDS	360				hypothetical protein
GGJBEMIG_00016	CDS	990				hypothetical protein
GGJBEMIG_00017	CDS	627	tmk	2.7.4.9		Thymidylate kinase
GGJBEMIG_00018	CDS	462	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
GGJBEMIG_00019	CDS	696	tyrS_1	6.1.1.1		Tyrosine--tRNA ligase
GGJBEMIG_00020	CDS	1353	argG	6.3.4.5	COG0137	Argininosuccinate synthase
GGJBEMIG_00021	CDS	1098				hypothetical protein
GGJBEMIG_00022	CDS	678				hypothetical protein
GGJBEMIG_00023	CDS	798				hypothetical protein
GGJBEMIG_00024	CDS	732	rmpM		COG2885	Outer membrane protein class 4
GGJBEMIG_00025	CDS	951	ssuR			HTH-type transcriptional regulator SsuR
GGJBEMIG_00026	CDS	744	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GGJBEMIG_00027	CDS	945	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
GGJBEMIG_00028	CDS	864				hypothetical protein
GGJBEMIG_00029	CDS	171	fabH_1	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
GGJBEMIG_00030	CDS	384				hypothetical protein
GGJBEMIG_00031	CDS	420				hypothetical protein
GGJBEMIG_00032	CDS	471				hypothetical protein
GGJBEMIG_00033	CDS	1182	atoB_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
GGJBEMIG_00034	CDS	666	atoA	2.8.3.8	COG2057	Acetate CoA-transferase subunit beta
GGJBEMIG_00035	CDS	654	atoD	2.8.3.8	COG1788	Acetate CoA-transferase subunit alpha
GGJBEMIG_00036	CDS	303				hypothetical protein
GGJBEMIG_00037	CDS	1338				hypothetical protein
GGJBEMIG_00038	CDS	1365	citN		COG2851	Citrate transporter
GGJBEMIG_00039	CDS	888	gltC_1			HTH-type transcriptional regulator GltC
GGJBEMIG_00040	CDS	318				hypothetical protein
GGJBEMIG_00041	CDS	522	htpG		COG0326	Chaperone protein HtpG
GGJBEMIG_00042	CDS	321				hypothetical protein
GGJBEMIG_00043	CDS	1374	aroP		COG1113	Aromatic amino acid transport protein AroP
GGJBEMIG_00044	CDS	1251	kynU	3.7.1.3		Kynureninase
GGJBEMIG_00045	CDS	1386	gabP		COG1113	GABA permease
GGJBEMIG_00046	CDS	1458	davD	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
GGJBEMIG_00047	CDS	1275	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
GGJBEMIG_00048	CDS	189				hypothetical protein
GGJBEMIG_00049	CDS	369				hypothetical protein
GGJBEMIG_00050	CDS	1482				hypothetical protein
GGJBEMIG_00051	CDS	612	tfaE			Prophage tail fiber assembly protein TfaE
GGJBEMIG_00052	CDS	1554				hypothetical protein
GGJBEMIG_00053	CDS	690				hypothetical protein
GGJBEMIG_00054	CDS	1134				hypothetical protein
GGJBEMIG_00055	CDS	366				hypothetical protein
GGJBEMIG_00056	CDS	675				hypothetical protein
GGJBEMIG_00057	CDS	1260	emrA			Colistin resistance protein EmrA
GGJBEMIG_00058	CDS	1395	oprM		COG1538	Outer membrane protein OprM
GGJBEMIG_00059	CDS	843	rsxB	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
GGJBEMIG_00060	CDS	435				hypothetical protein
GGJBEMIG_00061	CDS	1389	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
GGJBEMIG_00062	CDS	1215	sbmA		COG1133	Peptide antibiotic transporter SbmA
GGJBEMIG_00063	CDS	243	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
GGJBEMIG_00064	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
GGJBEMIG_00065	CDS	1998	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
GGJBEMIG_00066	CDS	483	slyD_1	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
GGJBEMIG_00067	CDS	465	slyD_2	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
GGJBEMIG_00068	CDS	2694	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
GGJBEMIG_00069	CDS	669	hda		COG0593	DnaA regulatory inactivator Hda
GGJBEMIG_00070	CDS	114				hypothetical protein
GGJBEMIG_00071	CDS	642	parB		COG1475	putative chromosome-partitioning protein ParB
GGJBEMIG_00072	CDS	345				hypothetical protein
GGJBEMIG_00073	CDS	846	atpB		COG0356	ATP synthase subunit a
GGJBEMIG_00074	CDS	231	atpH_1			ATP synthase subunit c
GGJBEMIG_00075	CDS	471	atpF		COG0711	ATP synthase subunit b
GGJBEMIG_00076	CDS	537	atpH_2		COG0712	ATP synthase subunit delta
GGJBEMIG_00077	CDS	1545	atpA	7.1.2.2		ATP synthase subunit alpha
GGJBEMIG_00078	CDS	876	atpG		COG0224	ATP synthase gamma chain
GGJBEMIG_00079	CDS	1398	atpD1	7.1.2.2		ATP synthase subunit beta 1
GGJBEMIG_00080	CDS	738				hypothetical protein
GGJBEMIG_00081	CDS	690	cidB		COG1346	Holin-like protein CidB
GGJBEMIG_00082	CDS	405	cidA		COG1380	Holin-like protein CidA
GGJBEMIG_00083	CDS	894	gltC_2			HTH-type transcriptional regulator GltC
GGJBEMIG_00084	CDS	345	yqjZ		COG2329	putative protein YqjZ
GGJBEMIG_00085	CDS	516	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
GGJBEMIG_00086	CDS	1215	macA		COG0845	Macrolide export protein MacA
GGJBEMIG_00087	CDS	420				hypothetical protein
GGJBEMIG_00088	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
GGJBEMIG_00089	CDS	570	mneA			Putative manganese exporter
GGJBEMIG_00090	CDS	1467	yflS		COG0471	Putative malate transporter YflS
GGJBEMIG_00091	CDS	1935	dnaK		COG0443	Chaperone protein DnaK
GGJBEMIG_00092	CDS	168				hypothetical protein
GGJBEMIG_00093	CDS	2445	lon	3.4.21.53	COG0466	Lon protease
GGJBEMIG_00094	CDS	300	hupB		COG0776	DNA-binding protein HU-beta
GGJBEMIG_00095	CDS	1536				hypothetical protein
GGJBEMIG_00096	CDS	1350	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
GGJBEMIG_00097	CDS	774				hypothetical protein
GGJBEMIG_00098	CDS	828	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
GGJBEMIG_00099	CDS	2850				hypothetical protein
GGJBEMIG_00100	CDS	633	lolB		COG3017	Outer-membrane lipoprotein LolB
GGJBEMIG_00101	CDS	849	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
GGJBEMIG_00102	tRNA	76				tRNA-Gln(ttg)
GGJBEMIG_00103	tRNA	76				tRNA-Gln(ttg)
GGJBEMIG_00104	tRNA	76				tRNA-Gln(ctg)
GGJBEMIG_00105	CDS	435	accC	6.3.4.14	COG0439	Biotin carboxylase
GGJBEMIG_00106	CDS	963	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
GGJBEMIG_00107	CDS	804				hypothetical protein
GGJBEMIG_00108	CDS	1338	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
GGJBEMIG_00109	CDS	273				putative Fe(2+)-trafficking protein
GGJBEMIG_00110	CDS	615	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
GGJBEMIG_00111	CDS	1404	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
GGJBEMIG_00112	CDS	276				hypothetical protein
GGJBEMIG_00113	CDS	678				hypothetical protein
GGJBEMIG_00114	CDS	1263	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
GGJBEMIG_00115	CDS	201				hypothetical protein
GGJBEMIG_00116	CDS	624	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
GGJBEMIG_00117	CDS	753	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
GGJBEMIG_00118	CDS	510	zur		COG0735	Zinc uptake regulation protein
GGJBEMIG_00119	CDS	1125				hypothetical protein
GGJBEMIG_00120	CDS	1101				hypothetical protein
GGJBEMIG_00121	CDS	804	nit1	3.5.1.128		Deaminated glutathione amidase
GGJBEMIG_00122	CDS	633	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
GGJBEMIG_00123	CDS	525				hypothetical protein
GGJBEMIG_00124	CDS	1335	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
GGJBEMIG_00125	CDS	186				hypothetical protein
GGJBEMIG_00126	CDS	669		2.1.1.-	COG4122	Putative O-methyltransferase/MSMEI_4947
GGJBEMIG_00127	CDS	699	cpoB			Cell division coordinator CpoB
GGJBEMIG_00128	CDS	498	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
GGJBEMIG_00129	CDS	348	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
GGJBEMIG_00130	CDS	573	tldD	3.4.-.-	COG0312	Metalloprotease TldD
GGJBEMIG_00131	CDS	597				hypothetical protein
GGJBEMIG_00132	CDS	375				hypothetical protein
GGJBEMIG_00133	CDS	126				hypothetical protein
GGJBEMIG_00134	CDS	153				hypothetical protein
GGJBEMIG_00135	CDS	528	yrdA		COG0663	Protein YrdA
GGJBEMIG_00136	CDS	813				hypothetical protein
