locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLEKLHKK_00001	CDS	6687				hypothetical protein
LLEKLHKK_00002	CDS	10218				hypothetical protein
LLEKLHKK_00003	CDS	225				hypothetical protein
LLEKLHKK_00004	CDS	276				hypothetical protein
LLEKLHKK_00005	CDS	1842				hypothetical protein
LLEKLHKK_00006	CDS	843				hypothetical protein
LLEKLHKK_00007	CDS	492				hypothetical protein
LLEKLHKK_00008	CDS	1218				hypothetical protein
LLEKLHKK_00009	CDS	1140				hypothetical protein
LLEKLHKK_00010	CDS	456				hypothetical protein
LLEKLHKK_00011	CDS	186				hypothetical protein
LLEKLHKK_00012	CDS	1866	urdA_1	1.3.99.33	COG1053	Urocanate reductase
LLEKLHKK_00013	CDS	1221	nanT			Sialic acid transporter NanT
LLEKLHKK_00014	CDS	1485	urdA_2	1.3.99.33	COG1053	Urocanate reductase
LLEKLHKK_00015	CDS	912	benM			HTH-type transcriptional regulator BenM
LLEKLHKK_00016	CDS	1332				hypothetical protein
LLEKLHKK_00017	CDS	219	insK		COG2801	Putative transposase InsK for insertion sequence element IS150
LLEKLHKK_00018	CDS	348				IS3 family transposase ISL6
LLEKLHKK_00019	CDS	660				hypothetical protein
LLEKLHKK_00020	CDS	2916				hypothetical protein
LLEKLHKK_00021	CDS	1863				hypothetical protein
LLEKLHKK_00022	CDS	1131				hypothetical protein
LLEKLHKK_00023	CDS	1218				hypothetical protein
LLEKLHKK_00024	CDS	492				hypothetical protein
LLEKLHKK_00025	CDS	843				hypothetical protein
LLEKLHKK_00026	CDS	1722				hypothetical protein
LLEKLHKK_00027	CDS	1743				hypothetical protein
LLEKLHKK_00028	CDS	465				hypothetical protein
LLEKLHKK_00029	CDS	2850				hypothetical protein
LLEKLHKK_00030	CDS	417				hypothetical protein
LLEKLHKK_00031	CDS	489	xkdM			Phage-like element PBSX protein XkdM
LLEKLHKK_00032	CDS	936				hypothetical protein
LLEKLHKK_00033	CDS	300				hypothetical protein
LLEKLHKK_00034	CDS	480				hypothetical protein
LLEKLHKK_00035	CDS	489				hypothetical protein
LLEKLHKK_00036	CDS	1140	groL_1		COG0459	60 kDa chaperonin
LLEKLHKK_00037	CDS	669				hypothetical protein
LLEKLHKK_00038	CDS	924				hypothetical protein
LLEKLHKK_00039	CDS	648	pcp_1	3.4.19.3		Pyrrolidone-carboxylate peptidase
LLEKLHKK_00040	CDS	240	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
LLEKLHKK_00041	CDS	846	dacA	2.7.7.85	COG1624	Diadenylate cyclase
LLEKLHKK_00042	CDS	975	cdaR_1		COG4856	CdaA regulatory protein CdaR
LLEKLHKK_00043	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
LLEKLHKK_00044	CDS	390				hypothetical protein
LLEKLHKK_00045	CDS	549	hpf			Ribosome hibernation promotion factor
LLEKLHKK_00046	CDS	690				hypothetical protein
LLEKLHKK_00047	CDS	612	comFA	3.6.4.12	COG4098	ComF operon protein 1
LLEKLHKK_00048	CDS	1791	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
LLEKLHKK_00049	CDS	1572				hypothetical protein
LLEKLHKK_00050	CDS	399				hypothetical protein
LLEKLHKK_00051	CDS	1383	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
LLEKLHKK_00052	CDS	1431	gatB_1	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LLEKLHKK_00053	CDS	927	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
LLEKLHKK_00054	CDS	336	ybhL		COG0670	Inner membrane protein YbhL
LLEKLHKK_00055	CDS	903	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
LLEKLHKK_00056	CDS	1224	cycB		COG2182	Cyclodextrin-binding protein
LLEKLHKK_00057	CDS	1359				hypothetical protein
LLEKLHKK_00058	CDS	1074				hypothetical protein
LLEKLHKK_00059	CDS	729	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LLEKLHKK_00060	CDS	1500	spoIIIE		COG1674	DNA translocase SpoIIIE
LLEKLHKK_00061	CDS	408				hypothetical protein
LLEKLHKK_00062	CDS	441				hypothetical protein
LLEKLHKK_00063	CDS	369				hypothetical protein
LLEKLHKK_00064	CDS	366				hypothetical protein
LLEKLHKK_00065	CDS	897				hypothetical protein
LLEKLHKK_00066	CDS	546				hypothetical protein
LLEKLHKK_00067	CDS	234				hypothetical protein
LLEKLHKK_00068	CDS	1521				hypothetical protein
LLEKLHKK_00069	CDS	360				hypothetical protein
LLEKLHKK_00070	CDS	912	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
LLEKLHKK_00071	CDS	795	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
LLEKLHKK_00072	CDS	822	manZ		COG3716	PTS system mannose-specific EIID component
LLEKLHKK_00073	CDS	771	fpaP	3.4.11.5		Proline iminopeptidase
LLEKLHKK_00074	CDS	3558				hypothetical protein
LLEKLHKK_00075	CDS	630	rsmG_1	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
LLEKLHKK_00076	CDS	837	noc_1		COG1475	Nucleoid occlusion protein
LLEKLHKK_00077	CDS	789	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
LLEKLHKK_00078	CDS	888	spo0J_1		COG1475	Stage 0 sporulation protein J
LLEKLHKK_00079	CDS	276				hypothetical protein
LLEKLHKK_00080	CDS	1431	gatB_2	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LLEKLHKK_00081	CDS	1080	gatA_2	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
LLEKLHKK_00082	CDS	474				hypothetical protein
LLEKLHKK_00083	CDS	750	artM		COG1126	Arginine transport ATP-binding protein ArtM
LLEKLHKK_00084	CDS	1497	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
LLEKLHKK_00085	CDS	2883	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
LLEKLHKK_00086	CDS	294	rpsF		COG0360	30S ribosomal protein S6
LLEKLHKK_00087	CDS	2367	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
LLEKLHKK_00088	CDS	2868				hypothetical protein
LLEKLHKK_00089	CDS	174				hypothetical protein
LLEKLHKK_00090	CDS	1548				hypothetical protein
LLEKLHKK_00091	CDS	1275	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
LLEKLHKK_00092	CDS	957	pyrB	2.1.3.2		Aspartate carbamoyltransferase
LLEKLHKK_00093	CDS	510	pyrR_1			Bifunctional protein pyrR
LLEKLHKK_00094	CDS	294	pcp_2	3.4.19.3		Pyrrolidone-carboxylate peptidase
LLEKLHKK_00095	CDS	1440				hypothetical protein
LLEKLHKK_00096	CDS	2433	ydgH_1		COG2409	Putative membrane protein YdgH
LLEKLHKK_00097	CDS	171				hypothetical protein
LLEKLHKK_00098	CDS	471	groL_2			60 kDa chaperonin
LLEKLHKK_00099	CDS	669				hypothetical protein
