locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIDGKLOA_00001	CDS	1614	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
KIDGKLOA_00002	CDS	897	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
KIDGKLOA_00003	CDS	573	yeiP		COG0231	Elongation factor P-like protein
KIDGKLOA_00004	CDS	366				hypothetical protein
KIDGKLOA_00005	CDS	1443	lysP		COG0833	Lysine-specific permease
KIDGKLOA_00006	CDS	219	infA		COG0361	Translation initiation factor IF-1
KIDGKLOA_00007	CDS	144				hypothetical protein
KIDGKLOA_00008	CDS	657	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
KIDGKLOA_00009	CDS	1005	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
KIDGKLOA_00010	CDS	492	lptE		COG2980	LPS-assembly lipoprotein LptE
KIDGKLOA_00011	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
KIDGKLOA_00012	CDS	795	bamD		COG4105	Outer membrane protein assembly factor BamD
KIDGKLOA_00013	CDS	975	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
KIDGKLOA_00014	CDS	771	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
KIDGKLOA_00015	CDS	615	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
KIDGKLOA_00016	CDS	429				hypothetical protein
KIDGKLOA_00017	CDS	1548	rnb	3.1.13.1	COG4776	Exoribonuclease 2
KIDGKLOA_00018	CDS	243				hypothetical protein
KIDGKLOA_00019	CDS	666				hypothetical protein
KIDGKLOA_00020	CDS	1560	mdoG		COG3131	Glucans biosynthesis protein G
KIDGKLOA_00021	CDS	2361	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
KIDGKLOA_00022	CDS	975	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
KIDGKLOA_00023	CDS	1374				hypothetical protein
KIDGKLOA_00024	CDS	246	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
KIDGKLOA_00025	CDS	870	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
KIDGKLOA_00026	CDS	1857	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
KIDGKLOA_00027	CDS	285	zapA		COG3027	Cell division protein ZapA
KIDGKLOA_00028	CDS	546		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
KIDGKLOA_00029	tRNA	76				tRNA-Asn(gtt)
KIDGKLOA_00030	tRNA	76				tRNA-Lys(ttt)
KIDGKLOA_00031	CDS	420	vsr	3.1.-.-	COG3727	Very short patch repair protein
KIDGKLOA_00032	CDS	669	hpaIIM	2.1.1.37		Modification methylase HpaII
KIDGKLOA_00033	CDS	1266	haeIIIM	2.1.1.37		Modification methylase HaeIII
KIDGKLOA_00034	CDS	2190				hypothetical protein
KIDGKLOA_00035	CDS	1113				hypothetical protein
KIDGKLOA_00036	CDS	546	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
KIDGKLOA_00037	CDS	3759				hypothetical protein
KIDGKLOA_00038	CDS	582	umuC		COG0389	Protein UmuC
KIDGKLOA_00039	CDS	318	xerC_1		COG4973	Tyrosine recombinase XerC
