locus_tag	ftype	length_bp	gene	EC_number	COG	product
POOJKCJA_00001	CDS	942				hypothetical protein
POOJKCJA_00002	CDS	234				hypothetical protein
POOJKCJA_00003	CDS	897				hypothetical protein
POOJKCJA_00004	CDS	897				hypothetical protein
POOJKCJA_00005	CDS	564				hypothetical protein
POOJKCJA_00006	CDS	2013				hypothetical protein
POOJKCJA_00007	CDS	453				hypothetical protein
POOJKCJA_00008	CDS	477				hypothetical protein
POOJKCJA_00009	CDS	2130				hypothetical protein
POOJKCJA_00010	CDS	1623				hypothetical protein
POOJKCJA_00011	CDS	2478				hypothetical protein
POOJKCJA_00012	CDS	318				hypothetical protein
POOJKCJA_00013	CDS	231				hypothetical protein
POOJKCJA_00014	CDS	423				hypothetical protein
POOJKCJA_00015	CDS	354				hypothetical protein
POOJKCJA_00016	CDS	1920	tet(M)			tetracycline resistance ribosomal protection protein Tet(M)
POOJKCJA_00017	CDS	933				hypothetical protein
POOJKCJA_00018	CDS	1002				hypothetical protein
POOJKCJA_00019	CDS	1488				hypothetical protein
POOJKCJA_00020	CDS	1140	Vejaci	5.5.1.25	COG4948	3,6-anhydro-alpha-L-galactonate cycloisomerase
POOJKCJA_00021	CDS	1707	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
POOJKCJA_00022	CDS	1299	thi4	2.4.2.59		Thiamine thiazole synthase
POOJKCJA_00023	CDS	915	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
POOJKCJA_00024	CDS	768	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
POOJKCJA_00025	CDS	645	lexA	3.4.21.88		LexA repressor
POOJKCJA_00026	CDS	201				hypothetical protein
POOJKCJA_00027	CDS	2169				hypothetical protein
POOJKCJA_00028	CDS	183				hypothetical protein
POOJKCJA_00029	CDS	351				hypothetical protein
POOJKCJA_00030	CDS	435				hypothetical protein
POOJKCJA_00031	CDS	192				hypothetical protein
POOJKCJA_00032	CDS	414				hypothetical protein
POOJKCJA_00033	CDS	270				hypothetical protein
POOJKCJA_00034	CDS	462	rpsC		COG0092	30S ribosomal protein S3
POOJKCJA_00035	CDS	435	rplP		COG0197	50S ribosomal protein L16
POOJKCJA_00036	CDS	198	rpmC			50S ribosomal protein L29
POOJKCJA_00037	CDS	276	rpsQ			30S ribosomal protein S17
POOJKCJA_00038	CDS	369	rplN		COG0093	50S ribosomal protein L14
POOJKCJA_00039	CDS	273	rplX		COG0198	50S ribosomal protein L24
POOJKCJA_00040	CDS	543	rplE		COG0094	50S ribosomal protein L5
POOJKCJA_00041	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
POOJKCJA_00042	CDS	399	rpsH		COG0096	30S ribosomal protein S8
POOJKCJA_00043	CDS	537	rplF		COG0097	50S ribosomal protein L6
POOJKCJA_00044	CDS	357	rplR		COG0256	50S ribosomal protein L18
POOJKCJA_00045	CDS	501	rpsE		COG0098	30S ribosomal protein S5
POOJKCJA_00046	CDS	186	rpmD		COG1841	50S ribosomal protein L30
POOJKCJA_00047	CDS	441	rplO		COG0200	50S ribosomal protein L15
POOJKCJA_00048	CDS	735				hypothetical protein
POOJKCJA_00049	CDS	423				hypothetical protein
POOJKCJA_00050	CDS	1431				hypothetical protein
POOJKCJA_00051	CDS	693				hypothetical protein
POOJKCJA_00052	CDS	1500				hypothetical protein
POOJKCJA_00053	CDS	1683	polA_1	2.7.7.7	COG0258	DNA polymerase I
POOJKCJA_00054	CDS	1431	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
