locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDNACMFE_00001	CDS	432				hypothetical protein
DDNACMFE_00002	CDS	486	xkdM			Phage-like element PBSX protein XkdM
DDNACMFE_00003	CDS	1416				hypothetical protein
DDNACMFE_00004	CDS	405				hypothetical protein
DDNACMFE_00005	CDS	441				hypothetical protein
DDNACMFE_00006	CDS	369				hypothetical protein
DDNACMFE_00007	CDS	360				hypothetical protein
DDNACMFE_00008	CDS	1020				hypothetical protein
DDNACMFE_00009	CDS	555				hypothetical protein
DDNACMFE_00010	CDS	1026				hypothetical protein
DDNACMFE_00011	CDS	1437				hypothetical protein
DDNACMFE_00012	CDS	1251				hypothetical protein
DDNACMFE_00013	CDS	843				hypothetical protein
DDNACMFE_00014	CDS	207				hypothetical protein
DDNACMFE_00015	CDS	483				hypothetical protein
DDNACMFE_00016	CDS	417				hypothetical protein
DDNACMFE_00017	CDS	2985	rpoC_1	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
DDNACMFE_00018	CDS	369				hypothetical protein
DDNACMFE_00019	CDS	516	hmpT		COG4720	Thiamine precursor transporter HmpT
DDNACMFE_00020	CDS	690	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
DDNACMFE_00021	CDS	408	rpsL		COG0048	30S ribosomal protein S12
DDNACMFE_00022	CDS	471	rpsG			30S ribosomal protein S7
DDNACMFE_00023	CDS	2094	fusA_1		COG0480	Elongation factor G
DDNACMFE_00024	CDS	507				hypothetical protein
DDNACMFE_00025	CDS	498				hypothetical protein
DDNACMFE_00026	CDS	222				hypothetical protein
DDNACMFE_00027	CDS	1206				hypothetical protein
DDNACMFE_00028	CDS	1386				hypothetical protein
DDNACMFE_00029	CDS	384				hypothetical protein
DDNACMFE_00030	CDS	315				hypothetical protein
DDNACMFE_00031	CDS	963	atpG_1		COG0224	ATP synthase gamma chain
DDNACMFE_00032	CDS	1512	atpA_1	7.1.2.2	COG0056	ATP synthase subunit alpha
DDNACMFE_00033	CDS	549	atpH_1		COG0712	ATP synthase subunit delta
DDNACMFE_00034	CDS	513	atpF		COG0711	ATP synthase subunit b
DDNACMFE_00035	CDS	225	atpH_2			ATP synthase subunit c
DDNACMFE_00036	CDS	714	atpB_1			ATP synthase subunit a
DDNACMFE_00037	CDS	630	upp_1	2.4.2.9		Uracil phosphoribosyltransferase
