locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFJGIMNL_00001	CDS	966	cysK	2.5.1.47	COG0031	Cysteine synthase A
IFJGIMNL_00002	CDS	1005	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
IFJGIMNL_00003	CDS	609	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
IFJGIMNL_00004	CDS	339	ybaB		COG0718	Nucleoid-associated protein YbaB
IFJGIMNL_00005	CDS	2133	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
IFJGIMNL_00006	CDS	1830	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IFJGIMNL_00007	tRNA	77				tRNA-Val(gac)
IFJGIMNL_00008	CDS	1980				hypothetical protein
IFJGIMNL_00009	tRNA	74				tRNA-Arg(cct)
IFJGIMNL_00010	CDS	759	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
IFJGIMNL_00011	CDS	792				hypothetical protein
IFJGIMNL_00012	CDS	1269				hypothetical protein
IFJGIMNL_00013	CDS	1212	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
IFJGIMNL_00014	CDS	723	glnQ_1			Glutamine transport ATP-binding protein GlnQ
IFJGIMNL_00015	CDS	762	artQ_1		COG0765	Arginine transport system permease protein ArtQ
IFJGIMNL_00016	CDS	783	glnH		COG0834	Glutamine-binding periplasmic protein
IFJGIMNL_00017	CDS	1047	ccpA		COG1609	Catabolite control protein A
IFJGIMNL_00018	CDS	1866				hypothetical protein
IFJGIMNL_00019	CDS	1017	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
IFJGIMNL_00020	CDS	765	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IFJGIMNL_00021	CDS	417	rbsD_1	5.4.99.62		D-ribose pyranase
IFJGIMNL_00022	CDS	1278	sauU_1			putative sulfoacetate transporter SauU
IFJGIMNL_00023	CDS	1233	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
IFJGIMNL_00024	CDS	924	allS			HTH-type transcriptional activator AllS
IFJGIMNL_00025	CDS	939				hypothetical protein
IFJGIMNL_00026	CDS	1260				hypothetical protein
IFJGIMNL_00027	CDS	1668	fdrA		COG0074	Protein FdrA
IFJGIMNL_00028	CDS	1227	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
IFJGIMNL_00029	CDS	1233	sauU_2			putative sulfoacetate transporter SauU
IFJGIMNL_00030	CDS	780	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
IFJGIMNL_00031	CDS	903	arcC2	2.7.2.2		Carbamate kinase 2
IFJGIMNL_00032	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
IFJGIMNL_00033	CDS	1437				hypothetical protein
IFJGIMNL_00034	CDS	1152				hypothetical protein
IFJGIMNL_00035	CDS	1404				hypothetical protein
IFJGIMNL_00036	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
IFJGIMNL_00037	CDS	582				hypothetical protein
IFJGIMNL_00038	CDS	234				hypothetical protein
IFJGIMNL_00039	CDS	264				hypothetical protein
IFJGIMNL_00040	CDS	891	yjhH_1	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
IFJGIMNL_00041	CDS	753	rhmR_1		COG1414	putative HTH-type transcriptional regulator RhmR
IFJGIMNL_00042	CDS	1041	naiP			Putative niacin/nicotinamide transporter NaiP
IFJGIMNL_00043	CDS	204				hypothetical protein
IFJGIMNL_00044	CDS	1401	norG		COG1167	HTH-type transcriptional regulator NorG
IFJGIMNL_00045	CDS	882	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
IFJGIMNL_00046	CDS	582	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
IFJGIMNL_00047	CDS	723				hypothetical protein
