locus_tag	ftype	length_bp	gene	EC_number	COG	product
NKJMHLCH_00001	CDS	1350	secY		COG0201	Protein translocase subunit SecY
NKJMHLCH_00002	CDS	489	rplO		COG0200	50S ribosomal protein L15
NKJMHLCH_00003	CDS	183	rpmD		COG1841	50S ribosomal protein L30
NKJMHLCH_00004	CDS	579	rpsE		COG0098	30S ribosomal protein S5
NKJMHLCH_00005	CDS	363	rplR		COG0256	50S ribosomal protein L18
NKJMHLCH_00006	CDS	534	rplF		COG0097	50S ribosomal protein L6
NKJMHLCH_00007	CDS	399	rpsH		COG0096	30S ribosomal protein S8
NKJMHLCH_00008	CDS	306	rpsN		COG0199	30S ribosomal protein S14
NKJMHLCH_00009	CDS	570	rplE_1		COG0094	50S ribosomal protein L5
NKJMHLCH_00010	CDS	321	rplX_1			50S ribosomal protein L24
NKJMHLCH_00011	CDS	369	rplN_1		COG0093	50S ribosomal protein L14
NKJMHLCH_00012	CDS	279	rpsQ_1		COG0186	30S ribosomal protein S17
NKJMHLCH_00013	CDS	237				hypothetical protein
NKJMHLCH_00014	CDS	417	rplP_1		COG0197	50S ribosomal protein L16
NKJMHLCH_00015	CDS	678	rpsC_1		COG0092	30S ribosomal protein S3
NKJMHLCH_00016	CDS	402	rplV_1		COG0091	50S ribosomal protein L22
NKJMHLCH_00017	CDS	279	rpsS_1		COG0185	30S ribosomal protein S19
NKJMHLCH_00018	CDS	831	rplB_1		COG0090	50S ribosomal protein L2
NKJMHLCH_00019	CDS	336	rplW		COG0089	50S ribosomal protein L23
NKJMHLCH_00020	CDS	615	rplD_1		COG0088	50S ribosomal protein L4
NKJMHLCH_00021	CDS	207	rplC_1		COG0087	50S ribosomal protein L3
NKJMHLCH_00022	rRNA	1911				23S ribosomal RNA (partial)
NKJMHLCH_00023	tRNA	76				tRNA-Ala(tgc)
NKJMHLCH_00024	tRNA	77				tRNA-Ile(gat)
NKJMHLCH_00025	rRNA	1484				16S ribosomal RNA
NKJMHLCH_00026	CDS	732				hypothetical protein
NKJMHLCH_00027	CDS	606				hypothetical protein
NKJMHLCH_00028	CDS	588				hypothetical protein
NKJMHLCH_00029	CDS	171				hypothetical protein
NKJMHLCH_00030	CDS	903	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
NKJMHLCH_00031	CDS	1197	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
NKJMHLCH_00032	CDS	576	mdh	1.1.1.37		Malate dehydrogenase
NKJMHLCH_00033	CDS	252				hypothetical protein
NKJMHLCH_00034	CDS	612				hypothetical protein
NKJMHLCH_00035	CDS	189				hypothetical protein
NKJMHLCH_00036	CDS	444				hypothetical protein
NKJMHLCH_00037	CDS	2043	ramC_1	2.7.-.-	COG0515	putative SapB synthase
NKJMHLCH_00038	CDS	603	ramC_2	2.7.-.-	COG0515	putative SapB synthase
NKJMHLCH_00039	CDS	471				hypothetical protein
NKJMHLCH_00040	CDS	678				hypothetical protein
NKJMHLCH_00041	CDS	921	argB	2.7.2.8	COG0548	Acetylglutamate kinase
NKJMHLCH_00042	CDS	777	pgrR			HTH-type transcriptional regulator PgrR
NKJMHLCH_00043	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
NKJMHLCH_00044	CDS	1191	tufA_1		COG0050	Elongation factor Tu
NKJMHLCH_00045	CDS	477	rpsG		COG0049	30S ribosomal protein S7
NKJMHLCH_00046	CDS	372	rpsL		COG0048	30S ribosomal protein S12
NKJMHLCH_00047	CDS	606	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
NKJMHLCH_00048	CDS	1128	hisZ			ATP phosphoribosyltransferase regulatory subunit
NKJMHLCH_00049	CDS	1491	hisS_1	6.1.1.21	COG0124	Histidine--tRNA ligase
NKJMHLCH_00050	CDS	1056	uvrB		COG0556	UvrABC system protein B
NKJMHLCH_00051	CDS	2016	uvrA			UvrABC system protein A
NKJMHLCH_00052	CDS	1398	ahcY	3.3.1.1		Adenosylhomocysteinase
NKJMHLCH_00053	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
NKJMHLCH_00054	CDS	1545	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
NKJMHLCH_00055	CDS	498				hypothetical protein
NKJMHLCH_00056	CDS	1131				hypothetical protein
NKJMHLCH_00057	CDS	840				hypothetical protein
NKJMHLCH_00058	CDS	1320	fpgS	6.3.2.17		Folylpolyglutamate synthase
NKJMHLCH_00059	CDS	897	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
NKJMHLCH_00060	CDS	336	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
NKJMHLCH_00061	CDS	1149				hypothetical protein
NKJMHLCH_00062	CDS	468				hypothetical protein
NKJMHLCH_00063	CDS	345				hypothetical protein
NKJMHLCH_00064	CDS	240				hypothetical protein
NKJMHLCH_00065	CDS	525				hypothetical protein
NKJMHLCH_00066	CDS	855		3.4.22.-		Dipeptidyl-peptidase 6
NKJMHLCH_00067	CDS	1392	pepA_1	3.4.11.1	COG0260	putative cytosol aminopeptidase
NKJMHLCH_00068	CDS	234	coaA	2.7.1.33		Pantothenate kinase
NKJMHLCH_00069	CDS	300	ubiK			Ubiquinone biosynthesis accessory factor UbiK
NKJMHLCH_00070	CDS	501				hypothetical protein
NKJMHLCH_00071	CDS	339	csaA		COG0073	putative chaperone CsaA
NKJMHLCH_00072	CDS	183				hypothetical protein
NKJMHLCH_00073	CDS	873	cpxA	2.7.13.3		Sensor histidine kinase CpxA
NKJMHLCH_00074	CDS	1275	omp2b			Porin Omp2b
NKJMHLCH_00075	tRNA	91				tRNA-Ser(gct)
NKJMHLCH_00076	CDS	579				hypothetical protein
NKJMHLCH_00077	CDS	429				hypothetical protein
NKJMHLCH_00078	CDS	399				hypothetical protein
NKJMHLCH_00079	CDS	288				hypothetical protein
NKJMHLCH_00080	CDS	1008	hpaIIM	2.1.1.37		Modification methylase HpaII
NKJMHLCH_00081	CDS	1755				hypothetical protein
NKJMHLCH_00082	CDS	288				hypothetical protein
NKJMHLCH_00083	CDS	468	grpE			Protein GrpE
NKJMHLCH_00084	CDS	1455				hypothetical protein
NKJMHLCH_00085	CDS	642				hypothetical protein
NKJMHLCH_00086	CDS	1839	priA	3.6.4.-	COG1198	Primosomal protein N'
NKJMHLCH_00087	CDS	315	rplX_2		COG0198	50S ribosomal protein L24
NKJMHLCH_00088	CDS	369	rplN_2		COG0093	50S ribosomal protein L14
NKJMHLCH_00089	CDS	240	rpsQ_2		COG0186	30S ribosomal protein S17
NKJMHLCH_00090	CDS	201	rpmC		COG0255	50S ribosomal protein L29
NKJMHLCH_00091	CDS	414	rplP_2		COG0197	50S ribosomal protein L16
NKJMHLCH_00092	CDS	369	rpsC_2		COG0092	30S ribosomal protein S3
NKJMHLCH_00093	CDS	1683				hypothetical protein
NKJMHLCH_00094	CDS	351				hypothetical protein
NKJMHLCH_00095	CDS	801	yghA	1.-.-.-		putative oxidoreductase YghA
NKJMHLCH_00096	CDS	678			COG0325	Pyridoxal phosphate homeostasis protein
NKJMHLCH_00097	CDS	1842	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
NKJMHLCH_00098	CDS	276			COG0776	DNA-binding protein HRL53
NKJMHLCH_00099	CDS	1713	lon	3.4.21.53		Lon protease
NKJMHLCH_00100	CDS	1395	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
NKJMHLCH_00101	CDS	873	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
NKJMHLCH_00102	CDS	924			COG0803	putative periplasmic iron-binding protein
NKJMHLCH_00103	CDS	504				hypothetical protein
NKJMHLCH_00104	CDS	792				hypothetical protein
NKJMHLCH_00105	CDS	414				hypothetical protein
NKJMHLCH_00106	CDS	564				hypothetical protein
NKJMHLCH_00107	CDS	423				hypothetical protein
NKJMHLCH_00108	CDS	420	zntR		COG0789	HTH-type transcriptional regulator ZntR
NKJMHLCH_00109	CDS	213				hypothetical protein
NKJMHLCH_00110	CDS	360				hypothetical protein
NKJMHLCH_00111	CDS	369				hypothetical protein
NKJMHLCH_00112	CDS	441				hypothetical protein
NKJMHLCH_00113	CDS	408				hypothetical protein
NKJMHLCH_00114	CDS	786	cobS	6.6.1.2		Aerobic cobaltochelatase subunit CobS
NKJMHLCH_00115	CDS	396				hypothetical protein
NKJMHLCH_00116	CDS	666	ccmB		COG2386	Heme exporter protein B
NKJMHLCH_00117	CDS	627	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
NKJMHLCH_00118	CDS	396				hypothetical protein
NKJMHLCH_00119	CDS	1218	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
