locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJLONHNI_00001	CDS	246				hypothetical protein
JJLONHNI_00002	CDS	240				hypothetical protein
JJLONHNI_00003	CDS	327				IS481 family transposase ISEc18
JJLONHNI_00004	CDS	219				hypothetical protein
JJLONHNI_00005	CDS	3744				hypothetical protein
JJLONHNI_00006	CDS	1107				hypothetical protein
JJLONHNI_00007	CDS	2070				hypothetical protein
JJLONHNI_00008	CDS	2022				hypothetical protein
JJLONHNI_00009	CDS	210				hypothetical protein
JJLONHNI_00010	CDS	222				hypothetical protein
JJLONHNI_00011	CDS	324				hypothetical protein
JJLONHNI_00012	CDS	177				hypothetical protein
JJLONHNI_00013	tRNA	76				tRNA-Phe(gaa)
JJLONHNI_00014	CDS	276				hypothetical protein
JJLONHNI_00015	CDS	468				hypothetical protein
JJLONHNI_00016	CDS	846				hypothetical protein
JJLONHNI_00017	CDS	855	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JJLONHNI_00018	CDS	1518	pchF	1.17.9.1		4-cresol dehydrogenase [hydroxylating] flavoprotein subunit
JJLONHNI_00019	CDS	780				hypothetical protein
JJLONHNI_00020	CDS	630	resA			Thiol-disulfide oxidoreductase ResA
JJLONHNI_00021	CDS	1707				hypothetical protein
JJLONHNI_00022	CDS	1446	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
JJLONHNI_00023	CDS	141				hypothetical protein
JJLONHNI_00024	CDS	543				hypothetical protein
JJLONHNI_00025	CDS	153				hypothetical protein
JJLONHNI_00026	CDS	195				hypothetical protein
JJLONHNI_00027	CDS	2520				hypothetical protein
JJLONHNI_00028	CDS	1125				hypothetical protein
JJLONHNI_00029	CDS	1779				hypothetical protein
JJLONHNI_00030	CDS	1140				hypothetical protein
JJLONHNI_00031	tRNA	76				tRNA-Gly(gcc)
JJLONHNI_00032	CDS	1473				hypothetical protein
JJLONHNI_00033	CDS	837				hypothetical protein
JJLONHNI_00034	CDS	975				hypothetical protein
JJLONHNI_00035	CDS	963				hypothetical protein
JJLONHNI_00036	CDS	135				hypothetical protein
JJLONHNI_00037	CDS	210				hypothetical protein
JJLONHNI_00038	CDS	1185				hypothetical protein
JJLONHNI_00039	CDS	3339				hypothetical protein
JJLONHNI_00040	CDS	405				hypothetical protein
JJLONHNI_00041	CDS	288				hypothetical protein
JJLONHNI_00042	CDS	420				hypothetical protein
JJLONHNI_00043	CDS	1536				hypothetical protein
JJLONHNI_00044	CDS	663				hypothetical protein
JJLONHNI_00045	CDS	93				hypothetical protein
JJLONHNI_00046	tRNA	88				tRNA-Ser(gga)
JJLONHNI_00047	CDS	2883				hypothetical protein
JJLONHNI_00048	CDS	1095				hypothetical protein
JJLONHNI_00049	CDS	348				hypothetical protein
JJLONHNI_00050	CDS	1014				hypothetical protein
JJLONHNI_00051	CDS	1254	rfbX		COG2244	Putative O-antigen transporter
JJLONHNI_00052	CDS	792	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
JJLONHNI_00053	tRNA	73				tRNA-Arg(tct)
JJLONHNI_00054	CDS	447				hypothetical protein
JJLONHNI_00055	CDS	315				hypothetical protein
JJLONHNI_00056	CDS	552				hypothetical protein
JJLONHNI_00057	CDS	318				hypothetical protein
JJLONHNI_00058	CDS	225				hypothetical protein
JJLONHNI_00059	CDS	240				hypothetical protein
JJLONHNI_00060	CDS	249				hypothetical protein
JJLONHNI_00061	CDS	177				hypothetical protein
JJLONHNI_00062	CDS	381				hypothetical protein
JJLONHNI_00063	CDS	393				hypothetical protein
JJLONHNI_00064	tRNA	77				tRNA-Arg(acg)
JJLONHNI_00065	tRNA	77				tRNA-Arg(tcg)
JJLONHNI_00066	CDS	1173				hypothetical protein
JJLONHNI_00067	CDS	432	amsI	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase AmsI
JJLONHNI_00068	CDS	2148	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
JJLONHNI_00069	CDS	957	flgL		COG1344	Flagellar hook-associated protein 3
JJLONHNI_00070	CDS	1914				hypothetical protein
JJLONHNI_00071	CDS	1050				hypothetical protein
JJLONHNI_00072	CDS	1116	bspRIM	2.1.1.37		Modification methylase BspRI
JJLONHNI_00073	CDS	234				hypothetical protein
JJLONHNI_00074	CDS	1530				hypothetical protein
JJLONHNI_00075	CDS	504				hypothetical protein
JJLONHNI_00076	CDS	675	esaR			Transcriptional activator protein EsaR
JJLONHNI_00077	CDS	681	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
JJLONHNI_00078	CDS	513	hcpA_1		COG3157	Major exported protein
JJLONHNI_00079	CDS	507				hypothetical protein
JJLONHNI_00080	CDS	1482				hypothetical protein
JJLONHNI_00081	CDS	423				hypothetical protein
JJLONHNI_00082	CDS	1719				hypothetical protein
JJLONHNI_00083	CDS	573				hypothetical protein
